# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	1444
#@/user_id	fcitx-rime
a 	啊	c=3 d=0.432287 t=1444
hou zhe 	後者	c=1 d=0.0338776 t=1444
hua sheng ke 	花生殼	c=1 d=0.847894 t=1444
hua zhuang pin 	化妝品	c=1 d=0.0464212 t=1444
huan jing 	環境	c=3 d=0.494531 t=1444
hui 	會	c=2 d=0.07437 t=1444
hui che jian 	回車鍵	c=1 d=0.310367 t=1444
hui tu 	繪圖	c=1 d=0.00334597 t=1444
hui yi lu 	回憶錄	c=3 d=2.84442 t=1444
hun he 	混合	c=1 d=0.00219846 t=1444
huo 	或	c=4 d=1.21827 t=1444
huo qu 	獲取	c=1 d=0.00171216 t=1444
huo zhe 	或者	c=1 d=0.574072 t=1444
ji ju 	急劇	c=1 d=0.00326335 t=1444
ji ke 	即可	c=3 d=0.0474609 t=1444
ji ke yi 	既可以	c=1 d=0.20089 t=1444
ji shi 	即使	c=1 d=0.173774 t=1444
ji tian 	幾天	c=1 d=0.00494193 t=1444
ji xu 	繼續	c=1 d=0.519442 t=1444
jia ge 	價格	c=1 d=0.904837 t=1444
jian ce 	檢測	c=1 d=0.822835 t=1444
jian cheng 	建成	c=1 d=0.00336274 t=1444
jian chi 	堅持	c=2 d=0.0115032 t=1444
jian chi chi 	堅持吃	c=1 d=0.00582847 t=1444
jian fan 	簡繁	c=1 d=0.00346515 t=1444
jian shao 	減少	c=1 d=0.00603608 t=1444
jian ti 	簡體	c=2 d=0.928514 t=1444
jian yi 	建議	c=1 d=0.151829 t=1444
jiao 	腳	c=1 d=0.118837 t=1444
jiao cheng 	教程	c=2 d=0.293553 t=1444
jie jue ban fa 	解決辦法	c=1 d=0.506617 t=1444
jie mian 	界面	c=1 d=0.00114197 t=1444
jie pou 	解剖	c=1 d=0.759572 t=1444
jie ya 	解壓	c=1 d=0.000949097 t=1444
jie ya suo 	解壓縮	c=1 d=0.000953854 t=1444
jin 	緊	c=1 d=0.197899 t=1444
jin liang 	儘量	c=3 d=0.380581 t=1444
jing cha 	警察	c=1 d=0.913931 t=1444
jing dian 	經典	c=2 d=0.00775571 t=1444
jiu 	就	c=4 d=0.890275 t=1444
jiu shi 	就是	c=1 d=0.167797 t=1444
jiu you 	就有	c=1 d=0.0528657 t=1444
jiu zao bi 	酒糟鼻	c=1 d=0.778801 t=1444
ju 	劇	c=1 d=0.00386807 t=1444
ju ti 	具體	c=2 d=0.0388929 t=1444
ju you 	具有	c=1 d=0.211189 t=1444
jue dui 	絕對	c=1 d=0.00104368 t=1444
kai 	開	c=1 d=0.00433948 t=1444
kai fa 	開發	c=1 d=0.0349094 t=1444
ke hu duan 	客戶端	c=1 d=0.860708 t=1444
ke jian 	可見	c=1 d=0.198891 t=1444
ke neng 	可能	c=1 d=0.00548905 t=1444
ke yi 	可以	c=6 d=1.51585 t=1444
kong 	空	c=0 d=0.00587185 t=1444
kong ge 	空格	c=1 d=0.000939653 t=1444
kong gu 	控股	c=1 d=0.00329615 t=1444
kong qi 	空氣	c=4 d=0.283976 t=1444
kong qi zhong 	空其中	c=1 d=0.0590129 t=1444
kuai 	塊	c=1 d=0.0518189 t=1444
la 	啦	c=0 d=0.0299692 t=1444
la qi 	拉起	c=0 d=0.000337959 t=1444
la te xing 	啦特性	c=1 d=0.301194 t=1444
la xi 	拉稀	c=0 d=0.000355287 t=1444
lai 	來	c=2 d=0.65061 t=1444
lai li 	來歷	c=1 d=0.00882647 t=1444
lai zi 	來自	c=0 d=0.000755912 t=1444
lai zi na li 	來自哪裏	c=1 d=0.00759701 t=1444
lao 	老	c=1 d=0.865022 t=1444
le 	了	c=3 d=0.489148 t=1444
le shi 	樂事	c=1 d=0.00192083 t=1444
lei 	類	c=1 d=0.00588705 t=1444
lei xing 	類型	c=1 d=0.00182715 t=1444
li 	裏	c=2 d=0.129973 t=1444
li 	離	c=1 d=0.00733572 t=1444
li bai 	李白	c=1 d=0.97531 t=1444
li hai 	厲害	c=1 d=0.0880368 t=1444
li ma 	立馬	c=1 d=0.0526021 t=1444
li mian 	裏面	c=6 d=1.21583 t=1444
li shi 	歷史	c=1 d=0.882497 t=1444
li shi ju 	歷史劇	c=1 d=0.00396599 t=1444
li si 	李斯	c=1 d=0.0072265 t=1444
li zi 	例子	c=1 d=0.357007 t=1444
lian 	臉	c=1 d=0.154896 t=1444
lian xu 	連續	c=1 d=0.67032 t=1444
liang 	兩	c=1 d=0.0144798 t=1444
liang bian 	兩遍	c=2 d=0.98794 t=1444
lie 	烈	c=1 d=0.00161548 t=1444
ling sheng 	鈴聲	c=1 d=0.802519 t=1444
liu bang 	劉邦	c=4 d=0.028072 t=1444
lu 	盧	c=1 d=0.869358 t=1444
luan ma 	亂碼	c=6 d=0.146189 t=1444
ma 	嗎	c=10 d=1.11681 t=1444
ma que 	麻雀	c=1 d=0.771052 t=1444
man xing 	慢性	c=1 d=0.00554422 t=1444
mang 	盲	c=1 d=0.00101791 t=1444
mang fu 	莽夫	c=1 d=0.0081887 t=1444
mang ren 	盲人	c=1 d=0.00138785 t=1444
mei ci 	每次	c=1 d=0.142987 t=1444
mei gong he 	湄公河	c=1 d=0.00226541 t=1444
mei gui 	玫瑰	c=1 d=0.782705 t=1444
mei mao 	眉毛	c=1 d=0.158025 t=1444
mei you 	沒有	c=2 d=0.0461094 t=1444
mei zhong 	每種	c=1 d=0.0193512 t=1444
men 	們	c=1 d=0.00444934 t=1444
ming 	名	c=3 d=1.39509 t=1444
ming ling 	命令	c=7 d=1.07938 t=1444
ming yue guang 	明月光	c=0 d=0.0965605 t=1444
ming zi 	名字	c=3 d=0.460997 t=1444
mo 	摸	c=2 d=0.275923 t=1444
mo ban 	模板	c=1 d=0.044601 t=1444
mo ren 	默認	c=15 d=1.20147 t=1444
mo shi 	模式	c=1 d=0.00100779 t=1444
mu lu 	目錄	c=1 d=0.516851 t=1444
mu shi 	牧師	c=1 d=0.774916 t=1444
na ge 	那個	c=1 d=0.559898 t=1444
na li 	哪裏	c=0 d=0.000755912 t=1444
na me 	那麼	c=2 d=0.131855 t=1444
na yang 	那樣	c=1 d=0.00509243 t=1444
nan fang 	南方	c=1 d=0.0678809 t=1444
nei he 	內核	c=2 d=0.0203571 t=1444
neng li 	能力	c=2 d=0.17198 t=1444
ni hao 	你好	c=7 d=2.01235 t=1444
niao 	尿	c=1 d=0.179066 t=1444
niao su 	尿素	c=10 d=0.703116 t=1444
niu bian 	牛鞭	c=1 d=0.00763509 t=1444
nong du 	濃度	c=1 d=0.100259 t=1444
nong fu 	農夫	c=0 d=0.000946646 t=1444
nong fu shan quan 	農夫山泉	c=1 d=0.00951391 t=1444
nv ren 	女人	c=1 d=0.0105672 t=1444
o 	哦	c=1 d=0.139457 t=1444
pai ban 	排版	c=0 d=0.0375311 t=1444
pai ban yao yi 	排版要義	c=1 d=0.377192 t=1444
pai chu 	排除	c=1 d=0.1764 t=1444
pai dao 	拍到	c=2 d=0.00739658 t=1444
pei he 	配合	c=1 d=0.00516939 t=1444
pei zhi 	配置	c=3 d=0.0160835 t=1444
pi fu 	皮膚	c=8 d=0.81478 t=1444
pi ru 	譬如	c=2 d=0.137719 t=1444
pi yan 	屁眼	c=0 d=0.000900478 t=1444
pi yan 	皮炎	c=1 d=0.00914087 t=1444
pin lv 	頻率	c=1 d=0.00612731 t=1444
ping yuan jun 	平原君	c=1 d=0.00149594 t=1444
po cheng 	破城	c=1 d=0.00304273 t=1444
po feng 	破風	c=1 d=0.00308872 t=1444
pu tong 	普通	c=3 d=0.639563 t=1444
qi 	慼	c=2 d=1.90268 t=1444
qi ben yu 	慼本禹	c=2 d=1.82898 t=1444
qi bing 	起兵	c=1 d=0.00748391 t=1444
qi guai 	奇怪	c=1 d=0.398519 t=1444
qi zhong 	其中	c=0 d=0.00587185 t=1444
qian gui ze 	潛規則	c=1 d=0.909373 t=1444
qian liang 	錢糧	c=1 d=0.00755912 t=1444
qian yan 	前言	c=1 d=0.546074 t=1444
qiang 	強	c=3 d=0.358185 t=1444
qiao ji 	敲擊	c=1 d=0.373439 t=1444
qie 	且	c=1 d=0.15259 t=1444
qin 	秦	c=2 d=0.0044857 t=1444
qing 	請	c=1 d=0.0434998 t=1444
qing qing 	輕輕	c=1 d=0.00353515 t=1444
qu bie 	區別	c=7 d=1.57749 t=1444
quan ju 	全局	c=1 d=0.0403566 t=1444
quan ming 	全名	c=1 d=0.514274 t=1444
que qian 	缺錢	c=1 d=0.00690852 t=1444
que shao 	缺少	c=1 d=0.00484407 t=1444
ran er 	然而	c=1 d=0.50409 t=1444
ran hou 	然後	c=1 d=0.472367 t=1444
re feng 	熱風	c=1 d=0.683861 t=1444
ren 	人	c=2 d=0.0764192 t=1444
ren ke 	認可	c=1 d=0.00199922 t=1444
ren ming 	人名	c=1 d=0.00891518 t=1444
ri ji 	日記	c=1 d=0.951229 t=1444
rong 	溶	c=13 d=3.66708 t=1444
rong jie 	溶解	c=1 d=0.18452 t=1444
rong jie xing 	溶解性	c=3 d=0.711368 t=1444
rong yi 	容易	c=3 d=0.333955 t=1444
rong yu 	溶於	c=4 d=0.813327 t=1444
rong yu shui 	溶於水	c=1 d=0.247833 t=1444
ru 	乳	c=2 d=0.00877154 t=1444
ru 	如	c=3 d=0.17406 t=1444
ru ci 	如此	c=0 d=0.000474815 t=1444
ru gao 	乳膏	c=9 d=0.216729 t=1444
ru guo 	如果	c=4 d=0.731329 t=1444
ru he 	如何	c=9 d=2.0083 t=1444
ruan hua 	軟化	c=1 d=0.11475 t=1444
san guan 	三觀	c=1 d=0.00970611 t=1444
san jiao 	三角	c=1 d=0.65377 t=1444
shan po 	山坡	c=0 d=0.0293758 t=1444
shan po rong 	山坡溶	c=1 d=0.29523 t=1444
shan quan 	山泉	c=0 d=0.000946646 t=1444
shang mian 	上面	c=2 d=0.596966 t=1444
shao 	少	c=1 d=0.142274 t=1444
shao liang 	少量	c=1 d=0.0800583 t=1444
shao lin si 	少林寺	c=1 d=0.353455 t=1444
shao yong 	少用	c=1 d=0.132655 t=1444
she tou 	舌頭	c=1 d=0.00504176 t=1444
she zhi 	設置	c=17 d=2.01075 t=1444
she zhi cheng 	設置成	c=1 d=0.0368832 t=1444
shen me 	什麼	c=6 d=1.04499 t=1444
shen me shi qing 	什麼事情	c=3 d=0.0234647 t=1444
shen shang 	身上	c=2 d=0.293719 t=1444
shen shuai jie 	腎衰竭	c=2 d=0.0164226 t=1444
sheng cheng 	生成	c=1 d=0.000997758 t=1444
sheng ji 	升級	c=0 d=0.00162445 t=1444
sheng ji hou 	升級後	c=1 d=0.0163259 t=1444
sheng yin 	聲音	c=1 d=0.794534 t=1444
shi 	是	c=31 d=2.69675 t=1444
shi bie 	識別	c=2 d=0.438191 t=1444
shi bu shi 	是不是	c=1 d=0.00782838 t=1444
shi de qi fan 	適得其反	c=1 d=0.00514361 t=1444
shi du 	溼度	c=1 d=0.062662 t=1444
shi hao 	是好	c=1 d=0.995012 t=1444
shi ji 	實際	c=1 d=0.0566989 t=1444
shi ji shang 	實際上	c=2 d=0.0354581 t=1444
shi liu jin zhi 	十六進制	c=1 d=0.000992781 t=1444
shi qing 	事情	c=1 d=0.0110536 t=1444
shi wu 	食物	c=1 d=0.187308 t=1444
shi xiao 	失效	c=2 d=0.00339874 t=1444
shi yong 	使用	c=7 d=0.230893 t=1444
shi yong 	食用	c=1 d=0.172907 t=1444
shi you 	石油	c=1 d=0.102797 t=1444
shou 	受	c=1 d=0.128093 t=1444
shou 	手	c=1 d=0.117655 t=1444
shou 	收	c=1 d=0.0611149 t=1444
shou dong 	手動	c=1 d=0.0319048 t=1444
shou xin 	手心	c=1 d=0.0804596 t=1444
shu 	書	c=1 d=0.88692 t=1444
shu chu 	輸出	c=1 d=0.0214078 t=1444
shu chu de 	輸出的	c=1 d=0.00128757 t=1444
shu ju 	數據	c=1 d=0.0015415 t=1444
shu lie 	數列	c=0 d=0.000693246 t=1444
shu ru 	輸入	c=2 d=1.21007 t=1444
shu ru fa 	輸入法	c=5 d=1.01192 t=1444
shu sheng 	書生	c=0 d=0.0960789 t=1444
shuang yin hao 	雙引號	c=1 d=0.603506 t=1444
shui 	水	c=9 d=1.69822 t=1444
shui fen 	水份	c=6 d=0.495588 t=1444
shui fen 	水分	c=1 d=0.0596059 t=1444
shui feng 	水封	c=1 d=0.108067 t=1444
shui jiao qian 	睡覺前	c=2 d=0.077019 t=1444
shui qian 	睡前	c=1 d=0.00538036 t=1444
shuo 	說	c=2 d=0.21585 t=1444
si kao 	思考	c=1 d=0.244143 t=1444
si shui 	泗水	c=1 d=0.00800393 t=1444
si shui ting zhang 	泗水亭長	c=1 d=0.00708341 t=1444
si yuan 	思源	c=1 d=0.0324962 t=1444
si yuan hei ti 	思源黑體	c=4 d=0.113508 t=1444
song chao 	宋朝	c=1 d=0.755784 t=1444
song ti 	宋體	c=5 d=0.13293 t=1444
suan na 	酸鈉	c=1 d=0.0461896 t=1444
sui 	隨	c=1 d=0.178173 t=1444
sui ran 	雖然	c=1 d=0.055299 t=1444
suo yi 	所以	c=2 d=0.289834 t=1444
suo zhu 	鎖住	c=2 d=0.216084 t=1444
ta 	他	c=3 d=0.0234642 t=1444
ta 	它	c=2 d=0.397093 t=1444
tai da 	太大	c=1 d=0.100761 t=1444
tai kuai 	太快	c=1 d=0.0102037 t=1444
te bie 	特別	c=1 d=0.00524752 t=1444
te luo yi 	特洛伊	c=1 d=0.00447164 t=1444
te shu 	特殊	c=2 d=0.0373759 t=1444
te xing 	特性	c=0 d=0.0946955 t=1444
te xing li 	特性裏	c=1 d=0.650509 t=1444
ti 	提	c=1 d=0.0108797 t=1444
ti lian 	提煉	c=1 d=0.10383 t=1444
ti wai 	體外	c=1 d=0.177284 t=1444
ti xing 	提省	c=1 d=0.00923273 t=1444
